datetime,temp,humidity,precip,solar_radiation,sugar_content,total_acidity,malic_acid
2022-07-03,19.6,61.6,2.375,145.1,145.0,8.9,7.8
2022-07-10,18.6,65.3,0.861,161.3,156.8,8.45,7.2
2022-07-17,22.9,42.9,0.134,229.1,169.5,7.82,6.5
2022-07-24,23.4,42.5,0.054,219.0,180.2,7.35,5.85
2022-07-31,27.2,43.6,0.017,225.5,189.8,6.95,5.3
2022-08-07,22.1,42.0,0.217,187.6,198.5,6.58,4.85
2022-08-14,23.5,49.6,0.618,166.2,205.3,6.25,4.45
2022-08-21,24.8,48.5,0.007,155.3,209.8,6.1,4.2
2022-08-28,21.7,56.6,1.753,158.3,208.2,6.15,4.25
2022-09-04,23.0,47.0,0.005,135.3,210.5,6.08,4.15
2022-09-11,17.4,43.7,0.0,136.4,212.0,5.98,4.05
2022-09-18,14.8,71.7,0.437,92.2,208.5,6.05,4.1
2022-09-25,13.5,58.3,0.0,98.5,207.8,6.12,4.18
2022-10-02,15.6,67.0,0.0,83.0,206.5,6.18,4.25
2022-10-09,14.4,67.0,0.0,81.0,204.8,6.25,4.35
2022-10-16,11.7,62.8,0.0,66.1,203.2,6.35,4.48
2022-10-23,7.9,73.5,0.466,43.9,201.5,6.48,4.65
